,Unnamed: 0,ID,Age,Experience,Income,ZIPCode,Family,CCAvg,Education,Mortgage,Personal_Loan,SecuritiesAccount,CDAccount,Online,CreditCard
0,0,1,25,1,49.0,91107,4,1.6,1,0,0,1,0,N,0
1,1,2,45,19,34.0,90089,3,1.5,1,0,0,1,0,N,0
2,2,3,39,15,11.0,94720,1,1.0,1,0,0,0,0,N,0
3,3,4,35,9,100.0,94112,1,2.7,2,0,0,0,0,N,0
4,4,5,35,8,45.0,91330,4,1.0,2,0,0,0,0,N,1
5,5,6,37,13,29.0,92121,4,0.4,2,155,0,0,0,Y,0
6,6,7,53,27,72.0,91711,2,1.5,2,0,0,0,0,Y,0
7,7,8,50,24,22.0,93943,1,0.3,3,0,0,0,0,N,1
8,8,9,35,10,81.0,90089,3,0.6,2,104,0,0,0,Y,0
9,9,10,34,9,180.0,93023,1,8.9,3,0,1,0,0,N,0
10,10,11,65,39,105.0,94710,4,2.4,3,0,0,0,0,N,0
11,11,12,29,5,45.0,90277,3,0.1,2,0,0,0,0,Y,0
12,12,13,48,23,114.0,93106,2,3.8,3,0,0,1,0,N,0
13,13,14,59,32,40.0,94920,4,2.5,2,0,0,0,0,Y,0
14,14,15,67,41,,91741,1,2.0,1,0,0,1,0,N,0
15,15,16,60,30,22.0,95054,1,1.5,3,0,0,0,0,Y,1
16,16,17,38,14,130.0,95010,4,4.7,3,134,1,0,0,N,0
17,17,18,42,18,81.0,94305,4,2.4,1,0,0,0,0,N,0
18,18,19,46,21,193.0,91604,2,8.1,3,0,1,0,0,N,0
19,19,20,55,28,21.0,94720,1,0.5,2,0,0,1,0,N,1
20,20,21,56,31,25.0,94015,4,0.9,2,111,0,0,0,Y,0
21,21,22,57,27,,90095,3,2.0,3,0,0,0,0,Y,0
22,22,23,29,5,62.0,90277,1,1.2,1,260,0,0,0,Y,0
23,23,24,44,18,43.0,91320,2,0.7,1,163,0,1,0,N,0
24,24,25,36,11,152.0,95521,2,3.9,1,159,0,0,0,N,1
25,25,26,43,19,29.0,94305,3,0.5,1,97,0,0,0,Y,0
26,26,27,40,16,83.0,95064,4,0.2,3,0,0,0,0,N,0
27,27,28,46,20,158.0,90064,1,2.4,1,0,0,0,0,Y,1
28,28,29,56,30,48.0,94539,1,2.2,3,0,0,0,0,Y,1
29,29,30,38,13,119.0,94104,1,3.3,2,0,1,0,1,Y,1
30,30,31,59,35,35.0,93106,1,1.2,3,122,0,0,0,Y,0
31,31,32,40,16,29.0,94117,1,2.0,2,0,0,0,0,Y,0
32,32,33,53,28,41.0,94801,2,0.6,3,193,0,0,0,N,0
33,33,34,30,6,18.0,91330,3,0.9,3,0,0,0,0,N,0
34,34,35,31,5,50.0,94035,4,1.8,3,0,0,0,0,Y,0
35,35,36,48,24,81.0,92647,3,0.7,1,0,0,0,0,N,0
36,36,37,59,35,121.0,94720,1,2.9,1,0,0,0,0,N,1
37,37,38,51,25,71.0,95814,1,1.4,3,198,0,0,0,N,0
38,38,39,42,18,141.0,94114,3,5.0,3,0,1,1,1,Y,0
39,39,40,38,13,80.0,94115,4,0.7,3,285,0,0,0,Y,0
40,40,41,57,32,84.0,92672,3,1.6,3,0,0,1,0,N,0
41,41,42,34,9,60.0,94122,3,2.3,1,0,0,0,0,N,0
42,42,43,32,7,132.0,90019,4,1.1,2,412,1,0,0,Y,0
43,43,44,39,15,45.0,95616,1,0.7,1,0,0,0,0,Y,0
44,44,45,46,20,104.0,94065,1,5.7,1,0,0,0,0,Y,1
45,45,46,57,31,52.0,94720,4,2.5,1,0,0,0,0,N,1
46,46,47,39,14,43.0,95014,3,0.7,2,153,0,0,0,Y,0
47,47,48,37,12,194.0,91380,4,0.2,3,211,1,1,1,Y,1
48,48,49,56,26,81.0,95747,2,4.5,3,0,0,0,0,N,1
49,49,50,40,16,49.0,92373,1,1.8,1,0,0,0,0,N,1
50,50,51,32,8,8.0,92093,4,0.7,2,0,0,1,0,Y,0
51,51,52,61,37,131.0,94720,1,2.9,1,0,0,0,0,Y,0
52,52,53,30,6,72.0,94005,1,0.1,1,207,0,0,0,N,0
53,53,54,50,26,190.0,90245,3,2.1,3,240,1,0,0,Y,0
54,54,55,29,5,44.0,95819,1,0.2,3,0,0,0,0,Y,0
55,55,56,41,17,139.0,94022,2,8.0,1,0,0,0,0,Y,0
56,56,57,55,30,29.0,94005,3,0.1,2,0,0,1,1,Y,0
57,57,58,56,31,131.0,95616,2,1.2,3,0,1,0,0,N,0
58,58,59,28,2,93.0,94065,2,0.2,1,0,0,0,0,N,0
59,59,60,31,5,188.0,91320,2,4.5,1,455,0,0,0,N,0
60,60,61,49,24,39.0,90404,3,1.7,2,0,0,1,0,Y,0
61,61,62,47,21,125.0,93407,1,5.7,1,112,0,1,0,N,0
62,62,63,42,18,22.0,90089,1,1.0,1,0,0,0,0,N,0
63,63,64,42,17,32.0,94523,4,0.0,2,0,0,0,0,Y,0
64,64,65,47,23,105.0,90024,2,3.3,1,0,0,0,0,N,0
65,65,66,59,35,131.0,91360,1,3.8,1,0,0,0,0,Y,1
66,66,67,62,36,105.0,95670,2,2.8,1,336,0,0,0,N,0
67,67,68,53,23,45.0,95123,4,2.0,3,132,0,1,0,N,0
68,68,69,47,21,60.0,93407,3,2.1,1,0,0,0,0,Y,1
69,69,70,53,29,20.0,90045,4,0.2,1,0,0,0,0,Y,0
70,70,71,42,18,115.0,91335,1,3.5,1,0,0,0,0,N,1
71,71,72,53,29,69.0,93907,4,1.0,2,0,0,0,0,Y,0
72,72,73,44,20,130.0,92007,1,5.0,1,0,0,0,0,N,1
73,73,74,41,16,,94606,1,4.0,3,0,0,0,0,Y,1
74,74,75,28,3,135.0,94611,2,3.3,1,0,0,0,0,N,1
75,75,76,31,7,135.0,94901,4,3.8,2,0,1,0,1,Y,1
76,76,77,58,32,12.0,91320,3,0.3,3,0,0,0,0,N,0
77,77,78,46,20,,92220,3,0.5,2,0,0,0,0,N,0
78,78,79,54,30,133.0,93305,2,2.6,3,0,1,0,0,N,0
79,79,80,50,26,19.0,94720,2,0.4,1,118,0,0,0,Y,0
80,80,81,60,36,41.0,95134,4,1.3,1,174,0,0,0,Y,1
81,81,82,47,22,40.0,94612,3,2.7,2,0,0,0,0,Y,0
82,82,83,41,16,82.0,92507,1,4.0,3,0,0,0,0,Y,0
83,83,84,33,9,50.0,94305,1,2.4,2,0,0,0,0,N,0
84,84,85,46,22,18.0,91730,1,0.9,3,0,0,0,0,Y,0
85,85,86,27,2,109.0,94005,4,1.8,3,0,0,0,0,N,0
86,86,87,40,16,42.0,94501,4,2.2,2,126,0,0,0,N,0
87,87,88,48,22,78.0,94305,3,1.1,1,0,0,0,0,Y,0
88,88,89,65,41,51.0,94117,2,1.1,1,0,0,0,0,Y,0
