Academic Year,Private Nonprofit 4-Year,Public 4-Year,,
2000-05-25 00:00:00.00,"$33,390 ","$12,560 ",,
2001-05-25 00:00:00.00,"$33,350 ","$12,660 ",,
2002-05-25 00:00:00.00,"$34,830 ","$13,180 ",,
2003-05-25 00:00:00.00,"$35,780 ","$13,910 ",,
2004-05-25 00:00:00.00,"$36,720 ","$14,840 ",,
2005-05-25 00:00:00.00,"$37,580 ","$15,570 ",,
2006-05-25 00:00:00.00,"$38,110 ","$16,070 ",,
2007-05-25 00:00:00.00,"$38,830 ","$16,350 ",,
2008-05-25 00:00:00.00,"$39,790 ","$16,870 ",,
2009-05-25 00:00:00.00,"$39,810 ","$16,930 ",,
2010-05-25 00:00:00.00,"$42,190 ","$18,340 ",,
2011-05-25 00:00:00.00,"$43,340 ","$19,230 ",,
2012-05-25 00:00:00.00,"$43,550 ","$19,680 ",,
2013-05-25 00:00:00.00,"$44,620 ","$20,150 ",,
2014-05-25 00:00:00.00,"$45,430 ","$20,390 ",,
2015-05-25 00:00:00.00,"$46,170 ","$20,590 ",,
2016-05-25 00:00:00.00,"$47,640 ","$21,250 ",,
2017-05-25 00:00:00.00,"$48,830 ","$21,700 ",,
2018-05-25 00:00:00.00,"$49,750 ","$22,010 ",,
2019-05-25 00:00:00.00,"$49,650 ","$22,000 ",,
2020-05-25 00:00:00.00,"$50,360 ","$22,170 ",,
2021-05-25 00:00:00.00,"$50,770 ","$22,180 ",,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
